일자,진동RMS,부하율,가동여부
0,3.14,65.0,1
1,3.53,71.1,1
2,3.24,71.4,1
3,3.57,70.4,1
4,3.39,74.2,1
5,3.56,70.6,1
6,3.52,74.9,1
7,3.87,79.4,1
8,3.26,64.3,1
9,2.88,59.1,1
10,3.31,61.6,1
11,3.19,57.6,1
12,0.14,0.0,0
13,0.18,0.0,0
14,2.87,54.1,1
15,3.02,61.1,1
16,2.97,52.6,1
17,3.11,62.3,1
18,3.02,57.9,1
19,3.19,65.3,1
20,3.19,64.7,1
21,3.49,75.5,1
22,4.62,99.1,1
23,3.65,76.2,1
24,3.64,72.3,1
25,3.31,66.1,1
26,2.59,47.7,1
27,2.9,55.5,1
28,2.86,55.1,1
29,2.9,54.1,1
30,2.49,43.9,1
31,2.76,51.4,1
32,2.62,51.0,1
33,2.86,55.8,1
34,3.7,71.4,1
35,3.18,64.5,1
36,3.42,72.9,1
37,4.48,98.4,1
38,3.74,73.4,1
39,3.48,75.9,1
40,3.61,75.2,1
41,3.43,71.7,1
42,2.88,59.9,1
43,3.3,63.3,1
44,3.34,66.8,1
45,2.62,46.1,1
46,2.96,58.6,1
47,2.94,53.8,1
48,2.7,50.4,1
49,0.15,0.0,0
50,3.15,65.2,1
51,2.88,57.8,1
52,3.6,69.8,1
53,3.62,76.5,1
54,3.65,74.6,1
55,3.83,81.0,1
56,3.61,76.1,1
57,3.69,78.6,1
58,4.54,98.9,1
59,3.17,63.2,1
60,3.22,64.0,1
61,2.96,55.9,1
62,3.11,56.2,1
63,2.7,46.3,1
64,2.78,49.6,1
65,2.79,53.1,1
66,3.01,62.3,1
67,3.48,67.5,1
68,3.11,57.1,1
69,3.24,64.6,1
70,3.76,77.0,1
71,4.49,97.0,1
72,3.7,74.2,1
73,3.77,76.0,1
74,3.82,82.1,1
75,3.82,75.5,1
76,3.13,65.2,1
77,3.22,60.6,1
78,3.06,57.2,1
79,3.36,64.6,1
80,3.01,50.9,1
81,3.03,51.2,1
82,2.95,56.4,1
83,2.93,56.2,1
84,3.4,59.5,1
85,3.19,58.3,1
86,3.75,69.3,1
87,3.95,70.4,1
88,4.14,82.7,1
89,4.07,80.9,1
90,0.08,0.0,0
91,4.36,78.6,1
92,4.06,69.3,1
93,4.29,73.5,1
94,3.86,62.8,1
95,3.82,62.2,1
96,3.53,47.7,1
97,3.76,55.5,1
98,3.3,42.9,1
99,3.58,42.0,1
100,4.02,55.1,1
101,4.14,55.3,1
102,4.4,66.0,1
103,5.08,82.8,1
104,4.58,68.1,1
105,4.79,72.0,1
106,5.19,78.2,1
107,5.17,79.5,1
108,5.16,73.5,1
109,5.09,70.1,1
110,5.39,71.4,1
111,4.84,65.9,1
112,4.7,52.5,1
113,4.73,54.9,1
114,4.75,53.7,1
115,4.39,46.7,1
116,4.88,55.8,1
117,4.94,51.8,1
118,5.41,66.5,1
119,5.47,66.2,1
