line,shift,machine,temp,vibration,pressure,result
A라인,야간,M04,74.9,2.97,5.52,정상
C라인,주간,M01,82.7,3.14,6.09,정상
B라인,야간,M01,77.0,4.53,4.23,정상
B라인,주간,M02,75.0,2.29,5.55,고장
A라인,주간,M03,71.7,3.66,5.85,고장
A라인,야간,M03,66.9,2.76,3.59,고장
A라인,주간,M02,78.8,2.74,4.05,정상
C라인,주간,M02,91.1,4.32,3.37,정상
B라인,주간,M03,80.9,3.99,4.78,고장
B라인,주간,M03,66.6,3.98,5.57,정상
A라인,야간,M04,90.5,4.57,6.2,정상
C라인,주간,M04,80.9,3.03,5.06,정상
C라인,야간,M02,72.5,3.82,6.3,정상
A라인,주간,M04,77.7,2.63,3.9,고장
A라인,주간,M01,79.6,3.39,3.64,정상
A라인,주간,M04,67.6,2.84,4.96,정상
A라인,주간,M04,79.0,3.12,5.31,정상
B라인,야간,M01,82.1,3.71,4.97,정상
B라인,야간,M02,83.7,2.02,3.35,정상
A라인,주간,M01,90.5,5.51,4.93,고장
B라인,주간,M04,61.3,1.79,3.96,정상
A라인,야간,M02,66.7,1.54,5.54,정상
A라인,주간,M04,84.3,4.39,5.29,정상
A라인,주간,M01,88.5,3.95,4.25,고장
B라인,주간,M01,75.5,3.75,4.59,정상
C라인,야간,M04,113.4,3.75,4.15,고장
A라인,야간,M03,85.8,2.99,4.95,정상
B라인,야간,M03,77.7,1.92,5.76,정상
B라인,주간,M01,84.3,3.09,4.21,정상
A라인,주간,M01,79.6,2.19,5.4,정상
B라인,야간,M03,73.7,4.17,4.58,정상
A라인,야간,M03,80.8,2.82,4.37,정상
A라인,야간,M04,65.5,2.01,4.91,정상
C라인,야간,M04,79.9,2.61,4.17,고장
C라인,주간,M03,77.7,3.5,4.56,정상
C라인,야간,M04,80.3,2.32,4.04,정상
A라인,주간,M04,95.7,2.01,6.57,고장
A라인,야간,M02,59.9,3.29,5.03,정상
B라인,주간,M04,82.2,3.29,4.44,정상
B라인,야간,M01,64.5,2.39,5.17,고장
A라인,야간,M04,68.6,2.43,4.91,정상
B라인,야간,M04,89.0,3.28,4.82,정상
A라인,야간,M03,72.9,1.26,5.49,정상
C라인,주간,M01,63.6,1.31,5.61,정상
A라인,야간,M04,71.8,2.14,4.58,정상
B라인,주간,M04,83.6,2.74,4.54,정상
A라인,주간,M02,71.5,3.37,4.78,고장
B라인,주간,M04,87.1,4.77,3.16,정상
B라인,주간,M04,77.2,4.03,3.79,정상
A라인,야간,M02,73.7,2.81,6.09,정상
C라인,주간,M03,96.4,2.98,6.32,정상
C라인,주간,M04,78.7,1.8,4.8,정상
C라인,주간,M02,62.2,2.98,5.46,정상
C라인,야간,M01,74.4,2.65,5.25,정상
B라인,야간,M03,75.9,3.39,7.46,정상
C라인,야간,M01,81.3,2.01,5.9,고장
A라인,야간,M01,71.2,3.62,4.9,정상
A라인,주간,M02,84.3,4.84,4.24,고장
A라인,주간,M04,79.1,2.87,3.71,정상
A라인,야간,M02,81.4,3.48,5.16,고장
A라인,주간,M02,65.3,3.83,4.39,정상
A라인,주간,M02,75.4,2.52,3.86,정상
C라인,주간,M02,70.5,3.27,4.48,정상
A라인,야간,M03,77.6,3.02,4.13,정상
A라인,야간,M04,85.7,3.12,6.35,정상
B라인,주간,M01,83.5,2.07,5.71,정상
A라인,야간,M01,68.1,3.03,4.99,정상
C라인,야간,M04,86.0,3.6,6.18,정상
A라인,야간,M01,97.2,4.74,5.06,정상
C라인,야간,M04,89.9,4.15,4.31,정상
C라인,야간,M01,71.6,5.58,6.22,정상
A라인,주간,M02,74.6,2.08,5.43,정상
A라인,야간,M01,90.6,4.05,4.17,정상
C라인,주간,M04,72.8,3.22,4.85,고장
B라인,주간,M04,86.6,5.63,4.3,정상
B라인,야간,M04,81.1,2.03,3.89,정상
C라인,주간,M04,68.5,1.99,5.74,정상
A라인,주간,M04,70.1,2.28,6.53,고장
A라인,주간,M03,41.2,0.45,3.88,정상
A라인,야간,M03,70.0,2.37,5.45,정상
C라인,야간,M01,73.7,2.09,4.48,정상
B라인,주간,M04,67.4,3.18,4.61,정상
A라인,야간,M01,91.7,3.41,4.53,정상
A라인,야간,M04,72.8,5.25,4.31,고장
A라인,야간,M04,75.2,4.14,5.04,고장
A라인,야간,M03,74.4,2.31,4.34,정상
B라인,주간,M03,86.9,1.92,5.22,정상
B라인,주간,M02,64.5,3.59,4.96,고장
