냉각기상태,운전부하,밸브상태,온도,진동,압력,냉각효율,result
고장,고부하,정상,35.6,0.577,160.67,39.6,정상
고장,저부하,정상,47.5,0.604,158.65,17.6,정상
고장,저부하,정상,50.7,0.64,157.76,18.7,정상
고장,저부하,정상,51.7,0.635,157.54,19.6,정상
고장,저부하,정상,52.4,0.635,157.36,21.1,정상
고장,저부하,정상,53.1,0.648,157.2,20.9,정상
고장,저부하,정상,53.5,0.666,157.07,20.1,정상
고장,저부하,정상,53.7,0.656,157.09,19.6,정상
고장,저부하,정상,53.9,0.66,156.95,19.6,정상
고장,저부하,정상,53.9,0.668,157.07,19.6,정상
고장,저부하,정상,54.1,0.667,157.0,20.0,정상
고장,저부하,정상,54.3,0.662,157.01,19.9,정상
고장,저부하,지연,54.2,0.661,156.2,19.9,고장
고장,저부하,경미,54.2,0.648,156.14,19.9,고장
고장,저부하,심각,54.5,0.657,156.54,20.1,고장
고장,저부하,경미,54.4,0.659,156.49,20.0,고장
고장,저부하,심각,54.6,0.666,157.07,20.2,정상
고장,저부하,경미,55.0,0.656,156.79,20.6,정상
고장,저부하,정상,54.5,0.676,156.82,20.4,정상
고장,고부하,심각,54.4,0.749,173.28,20.2,고장
고장,고부하,경미,56.0,0.779,180.41,20.8,고장
고장,고부하,심각,56.6,0.739,180.7,19.7,고장
고장,고부하,경미,56.8,0.733,172.86,19.0,고장
고장,저부하,정상,57.1,0.725,156.08,18.8,정상
고장,저부하,지연,56.3,0.654,156.4,20.3,정상
고장,고부하,정상,56.0,0.733,180.92,20.6,정상
고장,고부하,심각,56.0,0.741,173.03,20.0,고장
고장,고부하,경미,57.1,0.759,173.06,19.3,고장
고장,고부하,심각,57.6,0.719,172.94,18.9,고장
고장,고부하,지연,57.5,0.732,172.87,19.2,고장
고장,고부하,정상,57.8,0.725,172.72,19.2,고장
고장,고부하,지연,57.2,0.774,173.32,19.1,정상
고장,저부하,정상,57.0,0.741,156.6,19.0,정상
고장,고부하,심각,56.3,0.728,173.06,19.6,고장
고장,고부하,지연,57.2,0.706,166.57,18.8,고장
고장,고부하,정상,57.2,0.725,172.58,18.9,고장
고장,고부하,지연,57.2,0.697,166.75,18.8,고장
고장,고부하,정상,57.1,0.719,172.86,18.7,고장
고장,저부하,지연,56.6,0.66,156.31,18.6,정상
고장,저부하,정상,55.9,0.646,156.32,20.1,정상
저하,저부하,정상,51.2,0.592,157.09,27.0,정상
저하,저부하,정상,48.1,0.595,157.86,26.3,정상
저하,저부하,정상,47.4,0.596,158.09,26.3,정상
저하,저부하,정상,47.1,0.597,158.16,26.3,정상
저하,저부하,정상,46.9,0.594,158.24,26.2,정상
저하,저부하,정상,46.8,0.593,158.25,26.2,정상
저하,저부하,정상,46.7,0.604,158.3,26.4,정상
저하,저부하,정상,46.6,0.601,158.32,26.3,정상
저하,저부하,정상,46.5,0.614,158.3,26.5,정상
저하,저부하,정상,46.5,0.61,158.35,26.8,정상
저하,저부하,정상,46.4,0.622,158.39,26.5,정상
저하,저부하,심각,46.1,0.617,158.1,26.7,고장
저하,저부하,경미,46.0,0.627,157.92,26.9,고장
저하,저부하,정상,46.0,0.622,157.87,27.2,고장
저하,저부하,지연,45.9,0.629,158.3,27.4,고장
저하,저부하,정상,45.7,0.629,158.24,27.7,고장
저하,저부하,지연,45.7,0.624,158.78,28.2,정상
저하,저부하,정상,45.6,0.611,158.64,28.1,정상
저하,저부하,정상,45.4,0.604,158.65,27.8,정상
저하,저부하,지연,45.0,0.614,158.22,27.8,고장
저하,저부하,정상,44.8,0.614,158.12,27.7,고장
저하,저부하,지연,44.8,0.616,158.55,27.5,고장
저하,저부하,정상,44.6,0.613,158.48,27.8,고장
저하,저부하,심각,44.6,0.609,159.12,27.6,정상
저하,저부하,경미,44.6,0.612,158.96,27.6,정상
저하,저부하,정상,44.4,0.603,158.93,27.6,정상
저하,고부하,지연,44.1,0.623,158.45,27.4,고장
저하,고부하,정상,44.1,0.616,158.38,27.3,고장
저하,저부하,심각,44.1,0.617,158.85,27.9,고장
저하,저부하,경미,44.1,0.613,158.69,27.5,고장
저하,저부하,심각,44.3,0.612,159.23,27.3,정상
저하,저부하,경미,44.3,0.602,159.05,27.4,정상
저하,저부하,정상,44.3,0.604,158.99,27.5,정상
저하,고부하,지연,44.0,0.608,158.52,27.3,고장
저하,저부하,경미,44.0,0.618,158.46,27.7,고장
저하,저부하,심각,44.1,0.606,158.85,27.8,고장
저하,저부하,경미,44.1,0.609,158.69,27.2,고장
저하,저부하,심각,44.4,0.612,159.24,27.5,정상
저하,저부하,경미,44.5,0.607,159.07,27.6,정상
저하,저부하,정상,44.8,0.596,158.96,27.9,정상
정상,고부하,정상,36.2,0.563,160.72,47.3,정상
정상,고부하,정상,35.5,0.561,160.97,46.5,정상
정상,고부하,정상,35.4,0.566,161.0,46.6,정상
정상,고부하,정상,35.4,0.561,161.04,46.4,정상
정상,고부하,정상,35.5,0.562,161.01,46.7,정상
정상,고부하,정상,35.5,0.564,161.03,46.7,정상
정상,고부하,정상,35.5,0.561,161.03,46.5,정상
정상,고부하,정상,35.5,0.555,161.04,46.7,정상
정상,고부하,정상,35.4,0.552,161.04,46.9,정상
정상,고부하,정상,35.5,0.557,161.04,47.2,정상
정상,고부하,정상,35.6,0.552,161.16,47.4,정상
정상,고부하,지연,35.7,0.551,160.56,47.2,고장
정상,고부하,경미,35.7,0.539,160.49,47.8,고장
정상,고부하,심각,35.9,0.539,160.91,47.3,고장
정상,고부하,경미,35.9,0.542,160.69,47.4,고장
정상,고부하,심각,36.1,0.551,161.27,47.5,정상
정상,고부하,경미,36.2,0.548,161.08,47.5,정상
정상,고부하,정상,36.3,0.549,161.01,47.3,정상
정상,고부하,심각,36.2,0.547,160.45,47.0,고장
정상,고부하,경미,36.4,0.546,160.22,46.7,고장
정상,고부하,심각,36.4,0.552,160.7,46.3,고장
정상,고부하,경미,36.2,0.55,160.61,46.7,고장
정상,고부하,정상,36.1,0.537,160.96,46.8,정상
정상,고부하,지연,36.2,0.536,161.11,47.2,정상
정상,고부하,정상,36.3,0.53,160.92,47.4,정상
정상,고부하,심각,36.2,0.54,160.48,47.0,고장
정상,고부하,경미,36.3,0.537,160.31,46.8,고장
정상,고부하,정상,36.3,0.541,160.47,46.5,고장
정상,고부하,지연,36.3,0.54,160.64,46.9,고장
정상,고부하,정상,36.2,0.549,160.58,46.8,고장
정상,고부하,지연,36.2,0.544,161.1,47.1,정상
정상,고부하,정상,36.1,0.546,161.0,47.1,정상
정상,고부하,심각,36.0,0.545,160.61,47.5,고장
정상,고부하,지연,35.9,0.55,160.53,46.9,고장
정상,고부하,정상,35.8,0.541,160.41,47.0,고장
정상,고부하,지연,35.7,0.546,160.81,47.0,고장
정상,고부하,정상,35.6,0.544,160.68,46.8,고장
정상,고부하,지연,35.5,0.558,161.32,46.6,정상
정상,고부하,경미,35.4,0.547,161.26,46.6,정상
정상,고부하,정상,35.3,0.547,161.22,46.6,정상
