검사결과,지표01,지표02,지표03,지표04,지표05,지표06,지표07,지표08,지표09,지표10
합격,44.7,0.615,159.01,35.7,6.66,2465.3,59.7,107.93,1.81,49.7
합격,41.9,0.611,159.55,46.3,6.67,2489.1,59.4,108.37,1.87,48.1
합격,40.1,0.599,159.87,47.0,6.68,2504.2,59.4,108.61,1.92,46.2
합격,38.9,0.587,160.1,47.4,6.67,2513.9,59.1,108.76,1.94,44.9
합격,38.0,0.585,160.28,47.3,6.69,2521.8,59.1,108.9,1.97,44.0
합격,37.2,0.572,160.47,47.3,6.67,2530.4,58.8,109.06,1.98,43.0
합격,36.7,0.569,160.57,47.1,6.68,2534.4,58.8,109.19,1.98,42.5
합격,36.5,0.564,160.64,46.8,6.7,2539.4,59.0,109.23,1.98,42.2
합격,36.2,0.563,160.72,47.3,6.68,2541.1,58.8,109.3,1.98,41.9
합격,36.1,0.565,160.75,46.9,6.68,2542.1,58.8,109.34,2.01,41.8
합격,35.9,0.559,160.84,47.2,6.68,2544.3,58.7,109.4,2.0,41.5
합격,35.7,0.561,160.87,46.8,6.7,2548.3,58.9,109.45,1.99,41.4
합격,35.7,0.564,160.92,46.6,6.69,2542.4,59.0,109.46,2.01,41.4
합격,35.6,0.568,160.95,46.6,6.68,2542.5,58.8,109.49,2.01,41.3
합격,35.6,0.562,160.94,46.5,6.68,2541.6,58.8,109.49,1.99,41.2
합격,35.5,0.56,160.98,46.4,6.68,2542.8,58.7,109.5,2.0,41.2
합격,35.5,0.561,160.97,46.4,6.69,2541.2,58.9,109.5,2.01,41.1
합격,35.5,0.56,160.98,46.1,6.68,2544.7,58.7,109.5,2.01,41.1
합격,35.5,0.563,160.99,46.3,6.7,2545.0,59.1,109.49,2.0,41.1
합격,35.4,0.562,160.99,45.9,6.69,2545.7,58.9,109.51,2.01,41.1
합격,35.4,0.557,160.98,46.6,6.69,2544.6,58.9,109.5,2.01,41.1
합격,35.4,0.557,160.98,46.4,6.7,2545.2,59.0,109.51,2.01,41.1
합격,35.4,0.556,161.01,46.4,6.7,2547.1,58.9,109.52,2.0,41.1
합격,35.4,0.556,161.0,46.7,6.68,2545.4,58.7,109.54,2.0,41.1
합격,35.5,0.555,160.99,46.7,6.69,2543.8,59.0,109.56,2.01,41.1
합격,35.4,0.558,160.99,46.8,6.7,2544.7,59.1,109.56,2.02,41.1
합격,35.4,0.566,161.0,46.6,6.7,2542.0,59.1,109.56,2.01,41.1
합격,35.4,0.57,161.02,46.5,6.69,2539.4,59.1,109.6,2.02,41.1
합격,35.4,0.56,161.03,46.4,6.68,2543.0,58.8,109.61,2.01,41.1
합격,35.4,0.564,161.04,46.7,6.68,2540.1,58.9,109.59,2.02,41.0
합격,35.4,0.568,161.02,46.3,6.68,2543.3,58.9,109.57,2.01,41.0
합격,35.4,0.57,161.03,46.3,6.68,2541.0,58.9,109.59,2.01,41.0
합격,35.4,0.557,161.02,46.7,6.7,2545.8,59.1,109.58,2.01,41.0
합격,35.4,0.568,161.04,46.3,6.68,2545.8,58.8,109.61,2.01,41.0
합격,35.4,0.564,161.03,46.5,6.7,2543.9,59.2,109.59,2.0,41.0
합격,35.4,0.563,161.04,46.4,6.68,2544.0,58.9,109.6,1.99,41.0
합격,35.4,0.559,161.02,46.3,6.68,2543.9,58.9,109.6,2.0,41.0
합격,35.4,0.564,161.02,46.4,6.69,2544.2,59.0,109.61,2.0,41.0
합격,35.4,0.566,161.04,47.0,6.69,2544.9,58.9,109.59,1.99,41.0
합격,35.4,0.563,161.02,46.6,6.7,2544.8,59.1,109.59,1.99,41.0
합격,35.4,0.56,161.02,46.7,6.69,2544.8,58.9,109.59,2.0,41.0
합격,35.4,0.556,161.01,46.6,6.69,2543.5,58.9,109.58,2.0,41.0
합격,35.5,0.555,161.03,46.9,6.68,2545.7,58.7,109.59,2.0,41.1
