측정시각,불량여부,사이클시간,성형사이클,배럴온도1,배럴온도2,배럴온도3,배럴온도4,호퍼온도,최대사출속도,사출압력,스크루위치,전환위치,계량시간,계량시작점,최대사출압,전환압력,계량시작위치,스크루속도,최소쿠션,계량종료점,감압시간
2024-05-07 08:00:00,1,16.54,16.52,210.2,200.7,193.5,187.3,40.1,78.37,,6.02,8.14,4.74,10.46,1211.65,1062.0,10.51,,,,
2024-05-07 08:00:17,1,16.56,16.54,210.2,200.8,193.5,187.2,40.2,78.37,1.24,6.02,8.14,4.81,10.49,1211.65,1062.0,10.51,,,63.11,0.32
2024-05-07 08:00:34,1,16.58,16.56,210.1,200.7,193.5,187.2,40.2,78.32,1.26,6.02,8.12,4.8,10.53,1209.16,1101.41,10.54,35.38,6.02,63.11,0.32
2024-05-07 08:00:51,1,16.62,16.58,210.1,200.6,193.5,187.2,40.2,78.19,1.3,6.28,8.12,4.84,10.78,1228.24,1092.55,10.79,36.35,6.28,63.11,0.33
2024-05-07 08:01:08,1,16.62,16.62,210.0,200.5,193.4,187.3,40.1,77.99,1.31,6.46,8.1,4.86,10.94,1287.11,1153.41,10.96,,,,
2024-05-07 08:01:25,1,16.62,16.64,210.0,200.4,193.4,187.3,40.1,78.07,1.3,6.43,8.11,4.87,10.92,1261.17,1176.73,10.94,,6.43,63.11,0.33
2024-05-07 08:01:42,1,16.62,16.62,210.0,200.3,193.3,187.4,40.0,78.03,1.31,6.51,8.11,4.84,10.99,1276.63,1162.02,11.0,,,,
2024-05-07 08:01:59,1,16.62,16.62,210.1,200.3,193.4,187.5,40.0,78.17,1.3,6.38,8.12,4.87,10.87,1285.61,1151.92,10.89,,6.38,63.11,0.32
2024-05-07 08:02:16,1,16.6,16.64,210.0,200.4,193.4,187.7,39.9,78.11,1.31,6.39,8.14,4.89,10.89,1241.21,1108.89,10.9,,6.39,63.11,0.32
2024-05-07 08:02:33,1,16.62,16.62,209.9,200.3,193.6,187.9,40.0,78.17,1.32,6.4,8.12,4.93,10.88,1283.99,1149.05,10.9,,6.4,63.11,0.32
2024-05-07 08:02:50,1,16.62,16.64,210.0,200.2,193.6,188.0,40.1,78.06,1.32,6.43,8.13,4.83,10.91,1283.86,1131.71,10.93,43.91,6.43,63.11,0.32
2024-05-07 08:03:07,1,16.64,16.62,210.0,200.2,193.6,188.1,40.2,78.15,1.32,6.4,8.12,4.91,10.86,1265.53,1165.76,10.88,,6.4,63.11,0.32
2024-05-07 08:03:24,1,16.62,16.64,210.0,200.2,193.7,188.3,40.1,78.19,1.32,6.37,8.13,4.88,10.85,1276.38,1130.47,10.87,44.05,,63.11,0.32
2024-05-07 08:03:41,1,16.62,16.64,210.0,200.2,193.8,188.4,40.1,78.07,1.32,6.47,8.14,4.9,10.94,1290.1,1136.58,10.96,,6.47,,
2024-05-07 08:03:58,1,16.62,16.64,210.1,200.1,193.8,188.4,40.1,78.0,1.32,6.55,8.1,4.91,11.06,1276.63,1169.25,11.08,47.77,,63.11,0.32
