측정시각,불량여부,사출기,사이클시간,성형사이클,배럴온도1,배럴온도2,배럴온도3,배럴온도4,호퍼온도,스크루속도,사출압력,스크루위치,전환위치,계량시간,계량시작위치,계량시작점,최소쿠션,최대사출압,전환압력
2024-05-09 13:00:00,0,1호기,16.72,16.72,210.0,200.0,195.1,190.0,40.0,42.38,1.41,6.66,8.12,4.56,11.12,11.11,6.66,1238.405,1223.63
2024-05-09 13:00:17,1,1호기,16.76,16.72,210.0,200.1,195.0,189.9,40.0,20.31,1.45,6.72,8.13,4.58,11.17,11.16,6.72,1238.405,1223.63
2024-05-09 13:00:34,1,1호기,16.7,16.78,210.0,200.0,195.2,190.0,40.0,25.51,1.4,6.73,8.12,4.57,11.18,11.17,6.73,1235.22,1234.85
2024-05-09 13:00:51,0,1호기,16.68,16.72,210.0,200.0,195.1,189.8,40.1,41.24,1.39,6.7,8.11,4.59,11.15,11.14,6.7,1240.09,1228.12
2024-05-09 13:01:08,0,1호기,16.7,16.71,210.0,200.1,195.1,190.0,40.1,44.42,1.4,6.73,8.11,4.59,11.14,11.13,6.73,1238.405,1223.63
2024-05-09 13:01:25,0,1호기,16.7,16.72,209.9,200.1,195.0,189.9,40.1,35.93,1.41,6.72,8.13,4.61,11.18,11.16,6.72,1238.405,1237.35
2024-05-09 13:01:42,0,1호기,16.7,16.72,210.0,200.2,195.0,190.0,40.1,41.66,1.4,6.75,8.12,4.57,11.2,11.18,6.75,1238.405,1223.63
2024-05-09 13:01:59,0,1호기,16.72,16.7,210.0,200.2,195.0,190.0,40.1,35.49,1.4,6.77,8.13,4.62,11.21,11.2,6.77,1238.405,1235.72
2024-05-09 13:02:16,0,1호기,16.7,16.72,210.0,200.1,195.0,190.1,40.0,37.81,1.4,6.76,8.14,4.59,11.19,11.17,6.76,1238.405,1229.24
2024-05-09 13:02:33,0,1호기,16.68,16.72,210.0,200.1,195.0,190.0,39.9,36.66,1.39,6.71,8.11,4.61,11.16,11.15,6.71,1238.405,1231.48
2024-05-09 13:02:50,0,1호기,16.7,16.7,210.0,200.3,195.0,190.0,40.0,32.02,1.4,6.73,8.12,4.58,11.15,11.14,6.73,1234.6,1233.48
2024-05-09 13:03:07,0,1호기,16.7,16.72,210.0,200.1,195.0,189.9,40.1,42.64,1.41,6.68,8.13,4.64,11.13,11.12,6.68,1238.405,1227.37
2024-05-09 13:03:24,0,1호기,16.7,16.72,210.0,200.1,195.0,190.0,40.2,32.35,1.41,6.62,8.12,4.62,11.08,11.06,6.62,1235.22,1223.63
