측정시각,사출기,배럴온도,사출압력,스크루속도,누적샷,불량여부
2024-05-07 08:00,1호기,201.2,1.32,45.1,1200,0
2024-05-07 08:01,1호기,201.5,1.33,45.0,1201,0
2024-05-07 08:02,1호기,,1.31,44.9,1202,0
2024-05-07 08:03,1호기,202.0,0.0,45.2,1203,1
2024-05-07 08:04,2호기,199.4,1.28,-999.0,880,0
2024-05-07 08:05,2호기,199.8,1.29,42.5,881,0
2024-05-07 08:06,2호기,200.2,,42.6,882,0
2024-05-07 08:07,,200.9,1.3,42.7,883,0
2024-05-07 08:08,2호기,999.0,1.31,42.8,884,1
2024-05-07 08:09,A호기,203.1,1.41,47.0,2000,0
2024-05-07 08:10,A호기,203.6,1.42,-999.0,2001,0
2024-05-07 08:11,A호기,204.0,0.0,47.2,2002,1
2024-05-07 08:12,A호기,,1.4,47.1,2003,0
2024-05-07 08:13,B호기,198.1,1.35,43.8,1500,0
2024-05-07 08:14,B호기,198.6,1.36,43.9,1501,0
2024-05-07 08:15,B호기,199.2,1.34,,1502,0
