샷,실린더압력,주조압력,사이클타임,비스킷두께,형체력,상태
1,214.0,1037.0,20.7,10.0,258.0,0
2,217.0,1052.0,20.7,11.0,257.0,0
3,214.0,1037.0,20.8,11.0,254.0,0
4,217.0,1052.0,20.6,11.0,253.0,0
5,217.0,1052.0,20.6,11.0,254.0,0
6,217.0,1052.0,20.6,11.0,257.0,0
7,215.0,1038.0,20.9,11.0,250.0,0
8,215.0,1038.0,20.9,11.0,258.0,0
9,215.0,1039.0,20.9,11.0,258.0,0
10,218.0,1053.0,20.8,12.0,257.0,0
11,218.0,1054.0,21.0,11.0,258.0,0
12,214.0,1038.0,20.8,11.0,257.0,0
13,214.0,1037.0,20.8,11.0,257.0,0
14,218.0,1053.0,20.9,11.0,257.0,0
15,214.0,1037.0,20.8,12.0,255.0,0
16,218.0,1055.0,20.9,11.0,255.0,0
17,217.0,1051.0,20.9,12.0,257.0,0
18,218.0,1055.0,20.7,11.0,255.0,0
19,217.0,1051.0,20.9,11.0,257.0,0
20,214.0,1037.0,20.8,12.0,257.0,0
21,217.0,1052.0,20.9,12.0,257.0,0
22,214.0,1038.0,20.7,12.0,255.0,0
23,216.0,1046.0,20.8,11.0,257.0,0
24,214.0,1038.0,20.7,12.0,257.0,0
25,214.0,1037.0,20.7,11.0,257.0,0
26,218.0,1053.0,20.8,11.0,257.0,0
27,215.0,1039.0,20.8,11.0,257.0,0
28,218.0,1054.0,20.8,12.0,254.0,0
29,215.0,1040.0,20.9,12.0,258.0,0
30,214.0,1037.0,20.8,12.0,258.0,0
31,218.0,1055.0,20.8,12.0,258.0,0
32,214.0,1037.0,20.9,13.0,258.0,0
33,218.0,1055.0,20.8,12.0,257.0,0
34,215.0,1038.0,20.9,12.0,257.0,0
35,215.0,1040.0,20.9,12.0,257.0,0
36,217.0,1052.0,20.8,11.0,255.0,0
37,218.0,1055.0,20.9,12.0,257.0,0
38,218.0,1053.0,20.8,12.0,258.0,0
39,215.0,1040.0,20.9,11.0,257.0,0
40,218.0,1053.0,20.8,11.0,255.0,0
41,218.0,1055.0,21.0,11.0,257.0,0
42,215.0,1040.0,20.9,11.0,254.0,0
43,215.0,1040.0,20.7,21.0,253.0,0
44,214.0,1036.0,21.0,10.0,259.0,0
45,214.0,1037.0,20.7,11.0,251.0,0
46,217.0,1052.0,20.7,11.0,261.0,0
47,214.0,1036.0,20.7,11.0,257.0,0
48,214.0,1036.0,20.7,11.0,253.0,0
49,217.0,1052.0,20.8,12.0,255.0,0
50,214.0,1038.0,20.7,11.0,259.0,0
51,217.0,1051.0,20.8,11.0,258.0,0
52,214.0,1036.0,20.8,11.0,257.0,0
53,217.0,1051.0,20.7,11.0,258.0,0
54,217.0,1051.0,20.7,11.0,255.0,0
55,218.0,1053.0,20.7,11.0,255.0,0
56,217.0,1052.0,20.7,11.0,257.0,0
57,217.0,1052.0,20.7,11.0,258.0,0
58,214.0,1037.0,20.8,11.0,258.0,0
59,218.0,1053.0,20.8,11.0,253.0,0
60,218.0,1053.0,20.7,11.0,253.0,0
61,214.0,1037.0,20.6,11.0,254.0,0
62,216.0,1048.0,20.8,11.0,254.0,0
63,218.0,1053.0,20.6,12.0,254.0,0
64,215.0,1040.0,20.6,11.0,254.0,0
65,218.0,1054.0,20.7,12.0,253.0,0
66,214.0,1038.0,20.7,10.0,253.0,0
67,218.0,1054.0,21.2,12.0,257.0,0
68,215.0,1040.0,21.1,17.0,257.0,0
69,218.0,1054.0,21.2,12.0,254.0,0
70,214.0,1038.0,21.0,11.0,254.0,0
