용접전압,용접전류,통전전압,통전전류,가압력,판정
308,7962,364,5975,9270,1
308,7934,359,6020,9324,1
320,8287,359,6113,9275,1
320,8291,360,6079,9286,1
308,7934,360,6076,9299,1
320,8309,361,6019,9300,1
320,8299,359,6062,9290,1
320,8298,357,6062,9327,1
308,7942,358,6087,9290,1
308,7934,361,5955,9300,1
308,7934,363,5981,9299,1
308,7934,358,6067,9296,1
308,7934,358,6055,9276,1
308,7934,360,6055,9328,1
320,8315,360,6035,9275,1
320,8299,360,6054,9329,1
308,7934,360,5961,9300,1
308,7934,359,5997,9289,1
320,8319,358,6080,9319,1
321,8249,362,6006,9270,1
321,8286,360,5989,9290,1
320,8286,361,6007,9300,1
320,8300,362,5976,9270,1
320,8326,362,5948,9335,1
320,8313,359,6030,9289,1
310,7934,357,5948,9270,1
309,7934,357,5948,9289,1
319,8344,357,6114,9300,1
320,8313,359,6030,9271,1
309,7934,358,6120,9270,1
308,7934,359,5997,9279,1
320,8319,358,6080,9319,1
309,7934,362,6021,9270,1
319,8329,359,6084,9275,1
308,7934,360,5991,9275,1
321,8271,363,5985,9286,1
320,8326,362,5949,9327,1
320,8323,363,5980,9308,1
320,8310,360,6057,9303,1
320,8325,360,5986,9290,1
320,8365,358,6116,9295,1
308,8504,357,5948,9320,1
319,8350,357,6054,9300,1
308,7974,357,6076,9330,1
321,8284,360,6021,9289,1
319,8326,358,6024,9275,1
320,8291,362,5979,9324,1
320,8314,358,6044,9288,1
320,8304,361,5976,9319,1
320,8309,362,5997,9285,1
311,7934,357,6008,9299,1
310,7934,357,5960,9303,1
311,7934,357,5948,9270,1
308,7934,357,6120,9327,1
321,8278,361,5974,9285,1
308,7934,358,6044,9271,1
321,8297,360,6030,9288,1
320,8300,362,6051,9299,1
320,8329,357,6030,9300,1
319,8542,364,6237,9299,1
319,8492,358,6260,9319,1
321,8487,362,6102,9300,1
319,8535,366,6074,9290,1
320,8504,358,6283,9335,1
320,8286,363,5976,9319,1
309,8256,362,5988,9279,1
308,7958,358,6058,9327,1
321,8232,366,5948,9333,1
320,8298,359,6031,9308,1
320,8291,366,5948,9300,1
309,7934,358,6048,9305,1
308,7934,365,5948,9288,1
321,8284,360,6023,9270,1
308,7945,358,6105,9296,1
308,7934,359,5995,9301,1
319,8297,363,5958,9270,1
320,8302,359,5951,9333,1
321,8293,357,6079,9288,1
320,8307,361,6069,9275,1
308,7939,364,5948,9321,1
320,8293,361,5948,9290,1
321,8310,358,6093,9319,1
320,8322,360,6097,9285,1
320,8306,360,6034,9335,1
308,7934,360,5973,9270,1
320,8291,362,5993,9295,1
308,8503,357,5948,9324,1
321,8248,360,6001,9270,1
320,8313,363,5955,9319,1
308,7934,357,6051,9330,1
308,7934,361,5948,9276,1
308,8503,357,5948,9305,1
320,8298,358,6083,9288,1
309,7934,362,5977,9324,1
308,7944,358,6103,9270,1
320,8303,362,5948,9285,1
321,8306,360,6019,9317,1
320,8309,358,6041,9270,1
319,8320,361,5958,9276,1
321,7983,358,6056,9320,1
308,8506,357,5948,9280,1
319,8347,362,5948,9328,1
320,8341,365,5948,9300,1
321,8295,365,5948,9296,1
308,8497,357,5948,9324,1
319,8348,358,6049,9270,1
320,8316,360,6009,9333,1
308,7934,361,6026,9285,1
320,8312,361,6018,9270,1
319,8335,359,6011,9290,1
320,8309,364,5948,9321,1
320,8312,357,6017,9310,1
320,8027,358,6055,9288,1
308,8537,357,5948,9290,1
320,8308,362,5983,9300,1
308,7934,359,6030,9270,1
309,7934,358,6071,9279,1
308,8592,357,5948,9319,1
320,8310,360,6048,9270,1
308,7934,362,5961,9289,1
322,8235,365,5948,9300,1
320,8277,363,5975,9271,1
320,8317,358,6068,9270,1
308,8268,363,5956,9270,1
308,7934,359,6039,9299,1
320,8027,358,6055,9270,1
308,8502,357,5948,9270,1
320,8325,360,5986,9288,1
308,8321,360,5991,9299,1
320,8294,359,6007,9329,1
308,8528,357,5948,9285,1
308,8537,357,5948,9280,1
321,8282,359,5997,9301,1
320,8271,358,6122,9280,1
320,8300,360,5990,9295,1
308,7934,360,6037,9270,1
308,7934,361,5966,9275,1
320,8288,364,5971,9285,1
321,7987,357,6155,9276,1
319,8034,361,5961,9305,1
250,7000,255,4000,5000,0
260,7100,250,4000,4700,0
255,6900,255,4100,4900,0
260,7100,255,4200,5200,0
250,6900,260,4500,4900,0
255,7100,255,4400,5100,0
250,7000,255,4300,5000,0
255,7100,255,4300,5200,0
260,6900,260,4200,4900,0
255,7200,250,4100,4700,0
250,6800,255,4000,5000,0
260,7200,260,3900,4700,0
255,7100,250,3850,4900,0
255,7000,260,3850,5100,0
255,7000,255,3800,5000,0
250,7000,260,3900,5200,0
255,7000,250,4000,4900,0
255,7000,255,4200,5200,0
260,7100,250,4400,4900,0
250,7100,260,4400,4800,0
320,8291,360,6079,9286,1
319,8492,358,6260,9319,1
