측정시각,배치,온도,OP값,CP값,상태
09:00,로트A,861.9,42.9,0.451,정상
09:10,로트A,858.4,97.6,0.446,정상
09:20,로트A,858.7,89.8,0.45,정상
09:30,로트A,860.7,57.3,0.45,정상
09:40,로트A,859.1,87.8,0.452,정상
09:50,로트A,860.2,81.3,0.451,정상
10:00,로트A,860.1,74.0,0.449,정상
10:10,로트A,852.1,92.0,0.444,승온
10:20,로트A,859.7,77.4,0.45,정상
10:30,로트A,857.8,76.4,0.463,정상
10:40,로트A,859.3,76.3,0.607,정상
10:50,로트A,857.1,100.0,0.45,정상
11:00,로트A,854.3,100.0,0.444,승온
11:10,로트A,859.7,75.8,0.45,정상
11:20,로트A,857.2,100.0,0.453,정상
09:00,로트B,857.6,94.8,0.453,정상
09:10,로트B,860.6,56.6,0.451,정상
09:20,로트B,859.6,81.5,0.45,정상
09:30,로트B,860.4,78.6,0.45,정상
09:40,로트B,859.9,68.8,0.45,정상
09:50,로트B,859.0,89.0,0.451,정상
10:00,로트B,859.9,92.0,0.448,정상
10:10,로트B,861.3,53.0,0.451,정상
10:20,로트B,860.1,81.7,0.45,정상
10:30,로트B,858.0,79.6,0.448,정상
10:40,로트B,862.9,28.5,0.449,정상
10:50,로트B,858.4,96.5,0.449,정상
11:00,로트B,859.9,82.4,0.445,정상
11:10,로트B,859.8,85.3,0.451,정상
11:20,로트B,859.8,69.3,0.448,정상
09:10,로트C,861.2,60.4,0.482,정상
09:20,로트C,857.1,94.6,0.452,정상
09:30,로트C,865.6,7.7,0.45,정상
09:40,로트C,860.8,83.7,0.45,정상
09:50,로트C,858.7,83.2,0.451,정상
10:00,로트C,860.1,77.2,0.45,정상
10:10,로트C,859.6,75.0,0.448,정상
10:20,로트C,859.1,91.0,0.452,정상
10:30,로트C,859.9,73.0,0.449,정상
10:40,로트C,861.4,60.1,0.451,정상
10:50,로트C,860.1,79.3,0.451,정상
11:00,로트C,861.8,61.6,0.446,정상
11:10,로트C,860.6,48.4,0.449,정상
11:20,로트C,859.9,79.5,0.45,정상
