측정시각,소입로온도1존,소입로온도2존,CP값,OP값,세정기,라인,result
1,861.9,860.2,0.451,42.9,60.7,주간,정상
2,855.1,860.2,0.443,85.0,61.1,주간,정상
3,855.0,860.1,0.447,100.0,61.5,주간,정상
4,858.4,859.9,,80.1,61.9,주간,정상
5,858.6,859.9,0.453,95.0,62.2,주간,정상
6,860.6,,0.449,56.3,62.6,주간,정상
7,858.6,860.2,0.443,82.8,63.0,주간,정상
8,859.7,860.0,0.453,81.9,63.2,주간,정상
9,861.9,860.2,0.45,45.2,63.7,주간,정상
10,860.7,860.2,0.448,56.7,63.2,주간,정상
11,859.8,859.8,0.452,67.1,63.4,주간,정상
12,856.5,859.9,0.449,100.0,63.4,주간,정상
13,861.2,859.5,0.451,62.3,63.7,주간,정상
14,860.1,,0.444,66.2,63.9,주간,정상
15,861.0,860.3,0.45,69.8,64.2,주간,정상
16,860.3,859.9,0.452,65.5,64.3,주간,정상
17,861.8,859.9,0.45,44.0,64.5,주간,정상
18,858.7,860.2,0.45,,64.6,주간,정상
19,860.2,859.4,0.5,74.2,64.8,주간,정상
20,860.4,859.9,0.447,75.7,65.0,주간,정상
21,860.0,860.0,0.448,80.0,65.2,주간,정상
22,859.9,859.4,0.454,84.6,65.4,주간,정상
23,860.1,859.9,,77.4,64.6,주간,정상
24,860.7,859.9,0.45,69.3,64.9,주간,정상
25,860.2,860.6,,74.1,64.9,주간,정상
26,859.4,860.0,0.444,89.5,65.1,주간,정상
27,859.5,859.8,0.452,87.3,65.2,주간,정상
28,859.2,859.9,0.458,83.8,65.4,주간,정상
29,855.9,859.8,0.458,100.0,65.5,주간,정상
30,856.1,859.9,0.452,100.0,65.7,주간,정상
31,861.2,860.2,0.447,34.8,65.9,주간,정상
32,854.3,860.6,0.434,94.9,65.9,주간,이상
33,859.3,860.1,0.454,74.7,66.2,주간,정상
34,856.0,860.8,0.449,100.0,,주간,정상
35,859.1,859.2,0.452,87.8,65.9,주간,정상
36,859.9,859.5,0.449,,,주간,정상
37,860.1,859.8,0.446,83.1,65.8,주간,정상
38,859.9,859.9,0.45,80.9,66.0,주간,정상
39,859.5,860.2,0.45,90.1,66.0,주간,정상
40,860.0,860.2,0.451,87.4,66.0,주간,정상
41,859.5,860.3,0.451,83.2,66.1,주간,정상
42,859.2,860.2,0.451,88.0,66.2,주간,정상
43,860.0,859.9,0.45,76.0,66.3,주간,정상
44,859.7,859.8,0.449,78.4,66.4,주간,정상
45,858.8,860.0,0.452,92.2,66.4,주간,정상
46,859.5,860.1,0.451,,66.6,주간,정상
47,859.3,860.1,0.451,98.9,66.6,주간,정상
48,859.5,860.0,0.448,100.0,65.9,주간,정상
49,860.6,859.6,0.451,79.2,66.1,주간,정상
50,859.6,860.1,0.451,84.1,66.0,주간,정상
51,860.0,859.9,0.453,80.4,66.1,주간,정상
52,860.1,860.0,0.449,74.0,66.3,주간,정상
53,860.2,860.2,0.452,82.9,66.4,주간,정상
54,863.6,860.2,0.45,18.1,66.5,주간,정상
55,856.7,859.5,0.449,72.8,66.5,주간,정상
56,859.1,859.6,0.45,79.1,66.7,주간,정상
57,859.9,860.2,0.45,73.4,66.8,주간,정상
58,860.1,860.1,0.439,75.4,66.9,주간,정상
59,870.3,860.4,0.45,1.2,66.9,주간,이상
60,851.5,859.4,0.429,100.0,67.0,주간,이상
61,856.5,859.6,0.446,77.8,66.5,야간,정상
62,860.1,860.1,0.452,38.7,66.5,야간,정상
63,854.1,860.5,0.442,100.0,66.6,야간,이상
64,858.4,859.8,0.449,,,야간,정상
65,859.8,860.1,0.446,75.2,66.7,야간,정상
66,860.7,860.4,,66.0,66.9,야간,정상
67,859.4,859.9,0.449,89.5,67.0,야간,정상
68,858.1,860.0,0.452,100.0,67.1,야간,정상
69,859.7,859.6,0.45,77.4,67.1,야간,정상
70,859.4,860.0,0.444,80.5,,야간,정상
71,864.2,860.4,0.451,11.2,67.1,야간,정상
72,856.1,859.5,0.439,63.6,67.2,야간,정상
73,857.0,859.8,0.448,74.3,66.4,야간,정상
