라인,소입로온도,제어출력,건조출력,세정기,CP값,판정
주간,861.9,42.9,24.7,60.7,0.451,정상
주간,857.8,68.5,20.1,61.6,0.449,정상
주간,860.4,70.8,26.0,62.5,0.448,정상
주간,859.2,84.2,23.7,63.5,0.454,정상
주간,858.5,96.5,21.9,63.2,0.45,정상
주간,859.8,92.1,18.4,63.7,0.45,정상
주간,859.4,78.3,23.3,64.3,0.45,정상
주간,858.7,89.8,19.7,64.6,0.45,정상
주간,859.9,84.1,22.7,65.1,0.455,정상
주간,860.0,82.6,25.5,64.6,0.449,정상
주간,860.1,77.6,22.7,64.9,0.451,정상
주간,859.8,86.5,20.3,65.3,0.444,정상
주간,856.0,100.0,22.9,65.7,0.449,정상
주간,859.4,46.5,20.8,66.2,0.456,정상
주간,859.1,87.8,17.9,65.9,0.452,정상
주간,859.9,77.4,18.6,65.9,0.449,정상
주간,860.6,75.1,20.2,66.1,0.451,정상
주간,859.5,84.9,20.5,66.3,0.451,정상
주간,859.7,93.9,20.0,66.4,0.454,정상
주간,859.0,92.7,23.5,66.6,0.451,정상
주간,859.6,86.5,21.3,66.0,0.447,정상
주간,860.1,74.0,18.4,66.3,0.449,정상
주간,857.2,100.0,18.1,66.4,0.452,정상
주간,859.7,79.4,19.7,66.7,0.45,정상
주간,869.3,5.6,17.9,67.0,0.45,이상
주간,857.6,88.8,19.2,66.6,0.452,정상
주간,858.4,85.9,22.4,66.6,0.449,정상
주간,858.8,71.9,23.3,66.9,0.449,정상
주간,859.7,77.4,21.8,67.1,0.45,정상
주간,855.5,100.0,16.5,67.1,0.454,정상
주간,856.4,90.4,20.7,66.5,0.452,정상
주간,860.3,30.9,20.7,66.7,0.447,정상
주간,853.9,98.2,19.8,67.3,0.454,이상
주간,857.7,81.7,20.3,67.3,0.443,정상
주간,858.7,82.7,20.0,67.6,0.45,정상
주간,859.3,76.3,17.7,67.0,0.607,정상
주간,863.9,43.5,22.1,66.9,0.459,정상
주간,855.8,95.1,21.8,67.2,0.449,정상
주간,861.6,100.0,21.0,67.3,0.446,정상
주간,858.8,86.9,21.0,67.6,0.449,정상
주간,859.5,87.8,22.6,66.9,0.45,정상
주간,860.0,84.2,25.6,66.7,0.447,정상
주간,854.3,100.0,21.4,67.0,0.444,이상
주간,860.6,53.5,20.9,67.2,0.442,정상
주간,852.6,100.0,23.8,67.3,0.451,이상
주간,857.9,100.0,23.5,67.6,0.448,정상
주간,859.9,84.9,19.1,66.8,0.448,정상
주간,860.7,62.7,20.3,67.1,0.446,정상
주간,860.1,77.8,13.4,66.7,0.451,정상
주간,857.2,100.0,24.6,66.9,0.453,정상
주간,859.5,80.7,18.6,69.0,0.449,정상
주간,859.8,84.2,21.0,69.1,0.449,정상
주간,860.2,74.2,20.6,69.1,0.448,정상
주간,858.4,73.7,16.6,69.1,0.45,정상
주간,860.7,61.3,17.7,69.0,0.451,정상
주간,858.5,90.4,20.7,69.3,0.451,정상
주간,860.3,84.4,22.2,68.4,0.449,정상
주간,859.0,92.5,21.8,68.9,0.453,정상
주간,858.1,87.3,19.5,69.0,0.449,정상
주간,861.8,44.9,21.2,69.0,0.451,정상
주간,859.8,72.9,20.4,68.2,0.453,정상
주간,860.9,62.3,22.2,68.4,0.45,정상
주간,860.2,77.5,21.7,68.7,0.45,정상
주간,859.9,85.2,22.5,68.8,0.451,정상
주간,857.9,97.5,22.5,68.9,0.45,정상
주간,855.3,97.8,22.0,69.2,0.446,정상
주간,866.5,3.2,25.2,68.4,0.451,이상
주간,858.6,88.5,23.1,67.7,0.447,정상
주간,858.8,100.0,22.4,67.8,0.447,정상
주간,859.3,72.5,23.7,68.1,0.45,정상
주간,859.1,96.1,21.0,68.2,0.451,정상
주간,859.7,81.5,23.3,68.3,0.448,정상
주간,860.5,70.1,23.0,67.7,0.45,정상
주간,860.3,66.1,22.7,67.1,0.451,정상
주간,858.5,100.0,21.7,67.5,0.448,정상
주간,860.9,49.7,21.3,67.5,0.45,정상
주간,859.2,82.7,22.3,67.7,0.452,정상
주간,852.7,100.0,21.9,68.0,0.458,이상
주간,859.2,81.8,21.3,67.7,0.451,정상
주간,859.9,91.0,22.2,67.6,0.449,정상
주간,856.2,98.1,23.6,67.5,0.443,정상
주간,859.2,88.9,20.3,67.6,0.451,정상
주간,859.5,79.6,19.1,67.8,0.452,정상
주간,855.6,100.0,22.7,67.9,0.453,정상
주간,859.7,83.7,22.4,67.8,0.449,정상
주간,858.3,100.0,22.7,67.1,0.449,정상
주간,860.4,78.2,24.4,67.2,0.452,정상
주간,858.4,95.1,24.8,67.5,0.451,정상
주간,860.7,59.9,22.1,67.6,0.449,정상
주간,859.2,57.5,24.9,67.9,0.456,정상
주간,859.2,84.0,23.4,68.0,0.453,정상
주간,860.1,74.9,23.8,67.1,0.449,정상
주간,864.7,1.1,25.5,67.3,0.451,정상
주간,852.3,98.4,22.7,67.6,0.446,이상
주간,860.6,77.8,19.1,67.6,0.45,정상
주간,860.4,64.0,15.7,67.8,0.444,정상
주간,857.5,78.5,22.1,68.1,0.447,정상
주간,859.5,78.7,22.1,67.1,0.451,정상
주간,861.2,42.3,11.6,67.1,0.451,정상
주간,860.0,80.0,24.7,66.9,0.452,정상
야간,857.6,94.8,29.0,65.2,0.453,정상
야간,856.4,91.0,25.4,65.4,0.45,정상
야간,858.4,96.8,22.7,65.7,0.451,정상
야간,860.0,75.3,24.8,65.9,0.45,정상
야간,857.5,94.4,23.9,66.0,0.45,정상
야간,859.0,89.6,25.6,66.3,0.449,정상
